#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Transcript,selectable
136,00:06:04:18,00:06:06:18,00:00:02:00,Student A9,English,"Alright, I got the answer, guys: one point one, one, one.",,,a,yes
137,00:06:06:20,00:06:08:21,00:00:02:01,Student A14,English,"We're not supposed to type it in yet, [Student A9].",,,a,yes
138,00:06:08:23,00:06:11:24,00:00:03:01,Student A9,English,"But I did one point one, one, one, one.",,,a,yes
139,00:06:11:26,00:06:14:21,00:00:02:25,Student A16,English,[unintelligible].,,,a,yes
140,00:06:18:08,00:06:20:08,00:00:02:00,Student A16,English,[unintelligible] a little bit.,,,a,yes
141,00:06:25:04,00:06:26:03,00:00:00:29,Student A1,English,What are you doing?,,,a,yes
142,00:06:26:05,00:06:27:00,00:00:00:25,Student A16,English,I'm still typing [unintelligible].,,,a,yes
143,00:06:31:12,00:06:33:03,00:00:01:21,Student A16,English,I'm literally typing right now.,,,a,yes
144,00:06:34:20,00:06:36:17,00:00:01:27,Student A9,English,"I know, it looks like it's not moving.",,,a,yes
145,00:06:37:14,00:06:38:05,00:00:00:21,Student A16,English,Watch this.,,,a,yes
146,00:06:42:25,00:06:44:04,00:00:01:09,Student A16,English,It's not moving.,,,a,yes
147,00:06:44:09,00:06:46:06,00:00:01:27,Student A16,English,"It looks like it's not moving, but I'm still typing, you guys.",,,a,yes
148,00:06:49:15,00:06:50:27,00:00:01:13,Student A1,English,"Alright, that's goofy.",,,a,yes
149,00:06:51:11,00:06:55:20,00:00:04:09,Student A16,English,[unintelligible].,,,a,yes
150,00:06:55:23,00:06:57:08,00:00:01:15,Student A1,English,Why is there a green marker here?,,,a,yes
151,00:06:58:01,00:07:01:08,00:00:03:05,Student A16,English,"Three, two, one.",,,a,yes
152,00:07:01:10,00:07:02:04,00:00:00:24,Student A9,English,One.,,,a,yes
153,00:07:02:26,00:07:03:14,00:00:00:18,Teacher A,English,What do you think?,,,a,no
154,00:07:03:25,00:07:04:06,00:00:00:11,Student A9,English,We said...,,,a,yes
155,00:07:04:08,00:07:05:02,00:00:00:24,Student A16,English,"No, I said...",,,a,yes
156,00:07:06:14,00:07:08:24,00:00:02:10,Student A16,English,T equals zero point zero seven.,,,a,yes
157,00:07:09:18,00:07:12:01,00:00:02:13,Student A9,English,"Because that's the tax rate of the entire city, zero point zero seven.",,,a,yes
158,00:07:12:13,00:07:16:12,00:00:03:29,Teacher A,English,"Cool, so you just want the expression; you don't need the equation, so you don't need the T equals.",,,a,no
159,00:07:16:14,00:07:16:24,00:00:00:10,Student A9,English,"Oh, we don't?",,,a,yes
160,00:07:16:26,00:07:17:12,00:00:00:16,Teacher A,English,It's everything else.,,,a,no
161,00:07:17:14,00:07:17:26,00:00:00:12,Student A9,English,Okay.,,,a,yes
162,00:07:18:06,00:07:19:27,00:00:01:21,Student A16,English,So it's about zero point zero seven.,,,a,yes
163,00:07:20:09,00:07:20:18,00:00:00:09,Teacher A,English,Zero point zero what?,,,a,no
164,00:07:20:20,00:07:23:07,00:00:02:17,Student A9,English,"Wait, can we just do point zero seven or do we have to something else?",,,a,yes
165,00:07:24:27,00:07:26:17,00:00:01:20,Teacher A,English,Zero point zero seven what?,,,a,no
166,00:07:27:06,00:07:27:25,00:00:00:19,Student A16,English,T.,,,a,yes
167,00:07:27:29,00:07:28:11,00:00:00:12,Teacher A,Spanish,C.,,,a,no
168,00:07:28:13,00:07:29:24,00:00:01:11,Teacher A,English,Do you know why [unintelligible]?,,,a,no
169,00:07:29:26,00:07:30:12,00:00:00:16,Student A9,English,"Yeah, because....",,,a,yes
170,00:07:30:18,00:07:31:17,00:00:00:29,Student A14,English,[unintelligible].,,,a,yes
171,00:07:31:19,00:07:32:10,00:00:00:21,Student A9,English,"Wait, what the heck?",,,a,yes
172,00:07:33:16,00:07:33:26,00:00:00:10,Student A1,English,No.,,,a,yes
173,00:07:33:28,00:07:34:26,00:00:00:28,Teacher A,English,"Yeah, that's perfect.",,,a,no
174,00:07:35:00,00:07:36:03,00:00:01:03,Student A16,English,What about the last box?,,,a,yes
175,00:07:36:05,00:07:36:23,00:00:00:18,Student A1,English,There we go.,,,a,yes
176,00:07:37:02,00:07:38:17,00:00:01:15,Student A9,English,"T, for total.",,,a,yes
177,00:07:39:21,00:07:41:01,00:00:01:10,Student A1,English,In total.,,,a,yes
178,00:07:41:03,00:07:42:03,00:00:01:00,Student A9,English,"Do you understand it, [Student A16]?",,,a,yes
179,00:07:42:06,00:07:43:21,00:00:01:15,Student A16,English,Why isn't it working?,,,a,yes
180,00:07:43:24,00:07:44:26,00:00:01:02,Student A9,English,You have to use uppercase.,,,a,yes
181,00:07:45:17,00:07:46:07,00:00:00:20,Student A16,English,No.,,,a,yes
182,00:07:46:09,00:07:47:08,00:00:00:29,Student A9,English,"Wait, why isn't it...?",,,a,yes
183,00:07:48:04,00:07:49:10,00:00:01:06,Student A16,English,Why isn't it... Why can't we...?,,,a,yes
184,00:07:51:15,00:07:53:13,00:00:01:28,Student A9,English,"Hey, wait, see?",,,a,yes
185,00:07:53:15,00:07:55:14,00:00:01:29,Student A16,English,[unintelligible].,,,a,yes
186,00:07:56:00,00:07:57:05,00:00:01:05,Student A14,English,What do I do for the last part?,,,a,yes
187,00:07:59:24,00:08:02:15,00:00:02:19,Student A1,English,"Wait, do we put a T after the zero point zero seven.",,,a,yes
188,00:08:02:17,00:08:03:27,00:00:01:10,Student A16,English,"Oh, it's not letting us enter it.",,,a,yes
189,00:08:04:01,00:08:06:07,00:00:02:06,Student A9,English,"Oh, wait, [unintelligible], I didn't mean to do that.",,,a,yes
190,00:08:06:09,00:08:07:21,00:00:01:12,Teacher A,English,"Alright, let's see what we wrote.",,,a,no
191,00:08:07:23,00:08:08:24,00:00:01:01,Student A9,English,I didn't mean to do that.,,,a,yes
192,00:08:17:10,00:08:18:14,00:00:01:04,Student A16,English,"Wait, Miss...",,,a,yes
193,00:08:20:12,00:08:23:21,00:00:03:09,Student A16,English,"I can't press ""try"" because it's like a...",,,a,yes
194,00:08:26:11,00:08:28:03,00:00:01:23,Student A1,English,What did you do to your computer?,,,a,yes
195,00:08:28:12,00:08:29:03,00:00:00:22,Teacher A,English,Let me see.,,,a,no
196,00:08:29:05,00:08:30:03,00:00:00:28,Student A14,English,My computer died.,,,a,yes
197,00:08:30:16,00:08:30:26,00:00:00:10,Teacher A,English,"Oh, no.",,,a,no
198,00:08:30:28,00:08:32:02,00:00:01:04,Teacher A,English,"Okay, go plug it in.",,,a,no
199,00:08:33:04,00:08:35:26,00:00:02:22,Teacher A,English,It's because of the T equals; you don't need the T equals.,,,a,no
